locus_tag	ftype	length_bp	gene	EC_number	COG	product
PCGOOAAK_01761	CDS	1179				hypothetical protein
PCGOOAAK_01762	CDS	1425				hypothetical protein
PCGOOAAK_01763	CDS	1215				hypothetical protein
PCGOOAAK_01764	CDS	723				hypothetical protein
PCGOOAAK_01765	CDS	1158	rutC	1.-.-.-		Putative aminoacrylate peracid reductase RutC
PCGOOAAK_01766	CDS	2094	ccsA_1			Cytochrome c biogenesis protein CcsA
PCGOOAAK_01767	CDS	570				hypothetical protein
PCGOOAAK_01768	CDS	849	rhaS_5			HTH-type transcriptional activator RhaS
PCGOOAAK_01769	CDS	1077				hypothetical protein
PCGOOAAK_01770	CDS	804				hypothetical protein
PCGOOAAK_01771	CDS	759	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
PCGOOAAK_01772	CDS	768				hypothetical protein
PCGOOAAK_01773	CDS	1083	cbh	3.5.1.24		Choloylglycine hydrolase
PCGOOAAK_01774	CDS	1290				hypothetical protein
PCGOOAAK_01775	CDS	1251				hypothetical protein
PCGOOAAK_01776	CDS	1320	macB_3	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
PCGOOAAK_01777	CDS	1296				hypothetical protein
PCGOOAAK_01778	CDS	678	yknY_3	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
PCGOOAAK_01779	CDS	1488				hypothetical protein
PCGOOAAK_01780	CDS	1359	atoC_1		COG2204	Regulatory protein AtoC
PCGOOAAK_01781	CDS	1347	sasA_4	2.7.-.-		Adaptive-response sensory-kinase SasA
PCGOOAAK_01782	CDS	906				hypothetical protein
PCGOOAAK_01783	CDS	1014	apbE	2.7.1.180	COG1477	FAD:protein FMN transferase
PCGOOAAK_01784	CDS	573	mntP		COG1971	putative manganese efflux pump MntP
PCGOOAAK_01785	CDS	687				hypothetical protein
PCGOOAAK_01786	CDS	501				hypothetical protein
PCGOOAAK_01787	CDS	954	rgtE	2.4.1.-	COG0463	Dodecaprenyl-phosphate galacturonate synthase
PCGOOAAK_01788	CDS	531				hypothetical protein
PCGOOAAK_01789	tRNA	75				tRNA-Thr(tgt)
PCGOOAAK_01790	tRNA	75				tRNA-Thr(tgt)
PCGOOAAK_01791	CDS	1407	purF_1	2.4.2.14	COG0034	Amidophosphoribosyltransferase
PCGOOAAK_01792	CDS	225				hypothetical protein
PCGOOAAK_01793	CDS	2040	btuB_4			Vitamin B12 transporter BtuB
PCGOOAAK_01794	CDS	1116				hypothetical protein
PCGOOAAK_01795	CDS	1137				hypothetical protein
PCGOOAAK_01796	CDS	1041	btuC		COG4139	Vitamin B12 import system permease protein BtuC
PCGOOAAK_01797	CDS	1014	btuD_5	7.6.2.8		Vitamin B12 import ATP-binding protein BtuD
PCGOOAAK_01798	CDS	408				hypothetical protein
PCGOOAAK_01799	CDS	1299				hypothetical protein
PCGOOAAK_01800	CDS	543	ybdM		COG1475	putative protein YbdM
PCGOOAAK_01801	CDS	570	srpC		COG2059	putative chromate transport protein
PCGOOAAK_01802	CDS	543				hypothetical protein
PCGOOAAK_01803	CDS	3981	rcsC_18	2.7.13.3		Sensor histidine kinase RcsC
PCGOOAAK_01804	CDS	1257	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
PCGOOAAK_01805	CDS	648	nreC_1		COG2197	Oxygen regulatory protein NreC
PCGOOAAK_01806	CDS	4365	sasA_5	2.7.-.-		Adaptive-response sensory-kinase SasA
PCGOOAAK_01807	CDS	363				hypothetical protein
PCGOOAAK_01808	CDS	660				hypothetical protein
PCGOOAAK_01809	CDS	192				hypothetical protein
PCGOOAAK_01810	CDS	1626	pepT_2	3.4.11.4		Peptidase T
PCGOOAAK_01811	CDS	687	ddpX	3.4.13.22		D-alanyl-D-alanine dipeptidase
PCGOOAAK_01812	CDS	969				hypothetical protein
PCGOOAAK_01813	CDS	2403	mrcA_1		COG5009	Penicillin-binding protein 1A
PCGOOAAK_01814	CDS	798	nudC_2	3.6.1.22	COG2816	NADH pyrophosphatase
PCGOOAAK_01815	CDS	2139	yhgF		COG2183	Protein YhgF
PCGOOAAK_01816	CDS	1755	yfkN_2		COG0737	Trifunctional nucleotide phosphoesterase protein YfkN
PCGOOAAK_01817	CDS	279				hypothetical protein
PCGOOAAK_01818	CDS	771	btuB_5			Vitamin B12 transporter BtuB
PCGOOAAK_01819	CDS	1548				hypothetical protein
PCGOOAAK_01820	CDS	1287				hypothetical protein
PCGOOAAK_01821	CDS	537				hypothetical protein
PCGOOAAK_01822	CDS	1383	oprM_3		COG1538	Outer membrane protein OprM
PCGOOAAK_01823	CDS	3105	bepE_3			Efflux pump membrane transporter BepE
PCGOOAAK_01824	CDS	1197	bepF_1			Efflux pump periplasmic linker BepF
PCGOOAAK_01825	CDS	306				hypothetical protein
PCGOOAAK_01826	CDS	1386				hypothetical protein
PCGOOAAK_01827	CDS	276	ycnE	1.-.-.-	COG1359	Putative monooxygenase YcnE
PCGOOAAK_01828	CDS	1785	pnp_2	2.7.7.8		Polyribonucleotide nucleotidyltransferase
PCGOOAAK_01829	CDS	705				hypothetical protein
PCGOOAAK_01830	CDS	855				hypothetical protein
PCGOOAAK_01831	CDS	591	slyD	5.2.1.8	COG1047	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD
PCGOOAAK_01832	CDS	225				hypothetical protein
PCGOOAAK_01833	CDS	762	ydfG	1.1.1.381	COG4221	NADP-dependent 3-hydroxy acid dehydrogenase YdfG
PCGOOAAK_01834	CDS	861				hypothetical protein
PCGOOAAK_01835	CDS	420				hypothetical protein
PCGOOAAK_01836	CDS	579				hypothetical protein
PCGOOAAK_01837	CDS	141				hypothetical protein
PCGOOAAK_01838	CDS	888				hypothetical protein
PCGOOAAK_01839	CDS	585				hypothetical protein
PCGOOAAK_01840	CDS	750				hypothetical protein
PCGOOAAK_01841	CDS	2400				hypothetical protein
PCGOOAAK_01842	CDS	777	fabG_2	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
PCGOOAAK_01843	CDS	897	rhaR_8			HTH-type transcriptional activator RhaR
PCGOOAAK_01844	CDS	1299	cmk_2	2.7.4.25		Cytidylate kinase
PCGOOAAK_01845	CDS	894	per1	3.5.2.6		Extended-spectrum beta-lactamase PER-1
PCGOOAAK_01846	CDS	1920				hypothetical protein
PCGOOAAK_01847	CDS	264	rpmA		COG0211	50S ribosomal protein L27
PCGOOAAK_01848	CDS	408				hypothetical protein
PCGOOAAK_01849	CDS	645	gph_2	3.1.3.18	COG0546	Phosphoglycolate phosphatase
PCGOOAAK_01850	CDS	507	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase
PCGOOAAK_01851	CDS	1209	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
PCGOOAAK_01852	CDS	2502	mutS2	3.1.-.-		Endonuclease MutS2
PCGOOAAK_01853	tRNA	86				tRNA-Ser(tga)
PCGOOAAK_01854	CDS	3270				TonB-dependent receptor P3
PCGOOAAK_01855	CDS	1767				hypothetical protein
PCGOOAAK_01856	CDS	2058				hypothetical protein
PCGOOAAK_01857	CDS	1035				hypothetical protein
PCGOOAAK_01858	CDS	2649	mgtB	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
PCGOOAAK_01859	CDS	1371	sasA_6	2.7.-.-		Adaptive-response sensory-kinase SasA
PCGOOAAK_01860	CDS	696	cusR		COG0745	Transcriptional regulatory protein CusR
PCGOOAAK_01861	tRNA	75				tRNA-Ala(ggc)
PCGOOAAK_01862	CDS	495				hypothetical protein
PCGOOAAK_01863	CDS	2445	cdr	1.8.1.14		Coenzyme A disulfide reductase
PCGOOAAK_01864	CDS	363				hypothetical protein
PCGOOAAK_01865	CDS	627	queH	1.17.99.6	COG1636	Epoxyqueuosine reductase QueH
PCGOOAAK_01866	CDS	669				hypothetical protein
PCGOOAAK_01867	CDS	552				hypothetical protein
PCGOOAAK_01868	CDS	624				hypothetical protein
PCGOOAAK_01869	CDS	603				hypothetical protein
PCGOOAAK_01870	tRNA	73				tRNA-Glu(ttc)
PCGOOAAK_01871	tRNA	73				tRNA-Glu(ttc)
PCGOOAAK_01872	CDS	1026				hypothetical protein
PCGOOAAK_01873	CDS	1599				Putative fimbrium tip subunit Fim1C
PCGOOAAK_01874	CDS	3168				TonB-dependent receptor P39
PCGOOAAK_01875	CDS	1983				hypothetical protein
PCGOOAAK_01876	CDS	3021				TonB-dependent receptor P39
PCGOOAAK_01877	CDS	1752				hypothetical protein
PCGOOAAK_01878	CDS	2079	yesW_2	4.2.2.23		Rhamnogalacturonan endolyase YesW
PCGOOAAK_01879	CDS	1998	fbp	3.1.3.11		Fructose-1,6-bisphosphatase class 3
PCGOOAAK_01880	CDS	1662	yidE			Putative transport protein YidE
PCGOOAAK_01881	CDS	2190	glnA_1	6.3.1.2		Glutamine synthetase
PCGOOAAK_01882	CDS	1230	dapL_1	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
PCGOOAAK_01883	CDS	942				hypothetical protein
PCGOOAAK_01884	CDS	588				hypothetical protein
PCGOOAAK_01885	CDS	1248				hypothetical protein
PCGOOAAK_01886	CDS	1659	lcfB_1	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
PCGOOAAK_01887	CDS	1701	nplT	3.2.1.135		Neopullulanase
PCGOOAAK_01888	CDS	888	fabD	2.3.1.39		Malonyl CoA-acyl carrier protein transacylase
PCGOOAAK_01889	CDS	834	thiD_1	2.7.1.49	COG0351	Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
PCGOOAAK_01890	CDS	1035	algA		COG0662	Alginate biosynthesis protein AlgA
PCGOOAAK_01891	CDS	504	tpx_1	1.11.1.15	COG2077	Thiol peroxidase
PCGOOAAK_01892	CDS	915				hypothetical protein
PCGOOAAK_01893	CDS	1740	glnS	6.1.1.18	COG0008	Glutamine--tRNA ligase
PCGOOAAK_01894	CDS	1275	rarA		COG2256	Replication-associated recombination protein A
PCGOOAAK_01895	CDS	960	hpr_1	1.1.1.81	COG1052	Hydroxypyruvate reductase
PCGOOAAK_01896	CDS	468				hypothetical protein
PCGOOAAK_01897	CDS	204				hypothetical protein
PCGOOAAK_01898	CDS	915	czcD		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
PCGOOAAK_01899	CDS	207				hypothetical protein
PCGOOAAK_01900	CDS	465		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
PCGOOAAK_01901	CDS	558				hypothetical protein
PCGOOAAK_01902	CDS	378	dgkA	2.7.1.66	COG0818	Undecaprenol kinase
PCGOOAAK_01903	CDS	759	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
PCGOOAAK_01904	CDS	663				hypothetical protein
PCGOOAAK_01905	CDS	1800				hypothetical protein
PCGOOAAK_01906	CDS	2838	uvrA_1			UvrABC system protein A
PCGOOAAK_01907	CDS	483	ybaK	4.2.-.-	COG2606	Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
PCGOOAAK_01908	CDS	786	djlA		COG1076	Co-chaperone protein DjlA
PCGOOAAK_01909	CDS	435				hypothetical protein
PCGOOAAK_01910	CDS	531				hypothetical protein
PCGOOAAK_01911	CDS	429				hypothetical protein
PCGOOAAK_01912	CDS	1194	sstT			Serine/threonine transporter SstT
PCGOOAAK_01913	CDS	1554				hypothetical protein
PCGOOAAK_01914	CDS	576	rfbC_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
PCGOOAAK_01915	CDS	894	rffH_1	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
PCGOOAAK_01916	tRNA	73				tRNA-Cys(gca)
PCGOOAAK_01917	tRNA	73				tRNA-Cys(gca)
PCGOOAAK_01918	tRNA	74				tRNA-Lys(ctt)
PCGOOAAK_01919	CDS	987				hypothetical protein
PCGOOAAK_01920	CDS	1773	fucI	5.3.1.25	COG2407	L-fucose isomerase
PCGOOAAK_01921	CDS	639	otnC	4.1.1.104	COG0235	3-oxo-tetronate 4-phosphate decarboxylase
PCGOOAAK_01922	CDS	1344	rhaB_2	2.7.1.5	COG1070	L-Rhamnulokinase
PCGOOAAK_01923	CDS	1314	fucP_3		COG0738	L-fucose-proton symporter
PCGOOAAK_01924	CDS	903				hypothetical protein
PCGOOAAK_01925	CDS	783	ccsA_2			Cytochrome c biogenesis protein CcsA
PCGOOAAK_01926	CDS	1389				hypothetical protein
PCGOOAAK_01927	CDS	618				hypothetical protein
PCGOOAAK_01928	CDS	288				hypothetical protein
PCGOOAAK_01929	CDS	357				hypothetical protein
PCGOOAAK_01930	CDS	627				IS3 family transposase ISPg5
PCGOOAAK_01931	CDS	2460	btuB_6			Vitamin B12 transporter BtuB
PCGOOAAK_01932	CDS	588				hypothetical protein
PCGOOAAK_01933	CDS	1647				hypothetical protein
PCGOOAAK_01934	CDS	1740				hypothetical protein
PCGOOAAK_01935	CDS	708				hypothetical protein
PCGOOAAK_01936	CDS	828				hypothetical protein
PCGOOAAK_01937	CDS	1467				hypothetical protein
PCGOOAAK_01938	CDS	1374	radA	3.6.4.-	COG1066	DNA repair protein RadA
PCGOOAAK_01939	CDS	2433	thrA		COG0460	Bifunctional aspartokinase/homoserine dehydrogenase 1
PCGOOAAK_01940	CDS	1215	apgM			2,3-bisphosphoglycerate-independent phosphoglycerate mutase
PCGOOAAK_01941	CDS	1302	thrC	4.2.3.1	COG0498	Threonine synthase
PCGOOAAK_01942	CDS	1188				hypothetical protein
PCGOOAAK_01943	CDS	537				hypothetical protein
PCGOOAAK_01944	CDS	2742	lptD_2			LPS-assembly protein LptD
PCGOOAAK_01945	CDS	738	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
PCGOOAAK_01946	CDS	1431	rapZ			RNase adapter protein RapZ
PCGOOAAK_01947	CDS	2778	uvrA_2			UvrABC system protein A
PCGOOAAK_01948	CDS	813	natA_1	7.2.2.4	COG4555	ABC transporter ATP-binding protein NatA
PCGOOAAK_01949	CDS	720				hypothetical protein
PCGOOAAK_01950	CDS	375				hypothetical protein
PCGOOAAK_01951	CDS	234				hypothetical protein
PCGOOAAK_01952	CDS	633				hypothetical protein
PCGOOAAK_01953	CDS	771				hypothetical protein
PCGOOAAK_01954	CDS	2277				hypothetical protein
PCGOOAAK_01955	CDS	2325				hypothetical protein
PCGOOAAK_01956	CDS	534				hypothetical protein
PCGOOAAK_01957	CDS	675				hypothetical protein
PCGOOAAK_01958	CDS	1503				hypothetical protein
PCGOOAAK_01959	CDS	774				hypothetical protein
PCGOOAAK_01960	CDS	1071	kdsA_1	2.5.1.55		2-dehydro-3-deoxyphosphooctonate aldolase
PCGOOAAK_01961	CDS	1191	dapL_2	2.6.1.83	COG0436	LL-diaminopimelate aminotransferase
PCGOOAAK_01962	CDS	843	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
PCGOOAAK_01963	CDS	1170	patB_1	4.4.1.13	COG1168	Cystathionine beta-lyase PatB
PCGOOAAK_01964	CDS	954	bepA_3	3.4.-.-		Beta-barrel assembly-enhancing protease
PCGOOAAK_01965	CDS	708				hypothetical protein
PCGOOAAK_01966	CDS	663	fadD3_1	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
PCGOOAAK_01967	CDS	912	fadD3_2	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
PCGOOAAK_01968	CDS	579				hypothetical protein
PCGOOAAK_01969	CDS	537	resA_6		COG0526	Thiol-disulfide oxidoreductase ResA
PCGOOAAK_01970	CDS	801				hypothetical protein
PCGOOAAK_01971	CDS	972				hypothetical protein
PCGOOAAK_01972	CDS	1050	recA			Protein RecA
PCGOOAAK_01973	CDS	450	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
PCGOOAAK_01974	CDS	1194		1.5.1.43		Carboxynorspermidine synthase
PCGOOAAK_01975	CDS	798				hypothetical protein
PCGOOAAK_01976	CDS	1170	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
PCGOOAAK_01977	CDS	252				hypothetical protein
PCGOOAAK_01978	CDS	1605				hypothetical protein
PCGOOAAK_01979	CDS	1065	emrA_4			Colistin resistance protein EmrA
PCGOOAAK_01980	CDS	1323				hypothetical protein
PCGOOAAK_01981	CDS	441				hypothetical protein
PCGOOAAK_01982	CDS	1896	dbpA_1	3.6.4.13		ATP-dependent RNA helicase DbpA
PCGOOAAK_01983	CDS	1722	recJ	3.1.-.-	COG0608	Single-stranded-DNA-specific exonuclease RecJ
PCGOOAAK_01984	CDS	1194	pepE_1	3.4.22.-	COG3579	Aminopeptidase E
PCGOOAAK_01985	CDS	1392	pepP_2	3.4.11.9	COG0006	Xaa-Pro aminopeptidase
PCGOOAAK_01986	CDS	858				hypothetical protein
PCGOOAAK_01987	CDS	1536	rny	3.1.-.-	COG1418	Ribonuclease Y
PCGOOAAK_01988	CDS	306				hypothetical protein
PCGOOAAK_01989	CDS	294				hypothetical protein
PCGOOAAK_01990	CDS	162				hypothetical protein
PCGOOAAK_01991	CDS	333	queD_2	4.1.2.50	COG0720	6-carboxy-5,6,7,8-tetrahydropterin synthase
PCGOOAAK_01992	CDS	546	queE_2	4.3.99.3		7-carboxy-7-deazaguanine synthase
PCGOOAAK_01993	CDS	732	btsR_2		COG3279	Transcriptional regulatory protein BtsR
PCGOOAAK_01994	CDS	1077				hypothetical protein
PCGOOAAK_01995	CDS	1221	macB_4	3.6.3.-	COG0577	Macrolide export ATP-binding/permease protein MacB
PCGOOAAK_01996	CDS	747	yknY_4	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
PCGOOAAK_01997	CDS	1224	macA_2		COG0845	Macrolide export protein MacA
PCGOOAAK_01998	CDS	1344	bepC			Outer membrane efflux protein BepC
PCGOOAAK_01999	CDS	219				hypothetical protein
PCGOOAAK_02000	CDS	1497	appC	7.1.1.3	COG1271	Cytochrome bd-II ubiquinol oxidase subunit 1
PCGOOAAK_02001	CDS	1152	cydB	7.1.1.7	COG1294	Cytochrome bd-I ubiquinol oxidase subunit 2
PCGOOAAK_02002	CDS	2502				hypothetical protein
PCGOOAAK_02003	CDS	1485				hypothetical protein
PCGOOAAK_02004	CDS	1938		3.2.1.22		Retaining alpha-galactosidase
PCGOOAAK_02005	CDS	1653		3.2.1.-		Beta-xylosidase
PCGOOAAK_02006	CDS	1221		3.2.1.-		Unsaturated glucuronyl hydrolase
PCGOOAAK_02007	CDS	3252	tri1_2	3.4.21.-	COG0793	Tricorn protease 
PCGOOAAK_02008	CDS	270				hypothetical protein
PCGOOAAK_02009	CDS	369				hypothetical protein
PCGOOAAK_02010	CDS	204				hypothetical protein
PCGOOAAK_02011	CDS	639				hypothetical protein
PCGOOAAK_02012	CDS	954				hypothetical protein
PCGOOAAK_02013	CDS	1011	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
PCGOOAAK_02014	CDS	912	miaA_2	2.5.1.75	COG0324	tRNA dimethylallyltransferase
PCGOOAAK_02015	CDS	933	dagK_1	2.7.1.107	COG1597	Diacylglycerol kinase
PCGOOAAK_02016	CDS	804	kdsA_2	2.5.1.55	COG2877	2-dehydro-3-deoxyphosphooctonate aldolase
PCGOOAAK_02017	CDS	1218				hypothetical protein
PCGOOAAK_02018	CDS	1275	serS	6.1.1.11	COG0172	Serine--tRNA ligase
PCGOOAAK_02019	CDS	1938				hypothetical protein
PCGOOAAK_02020	CDS	1272	mshA_3	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
PCGOOAAK_02021	CDS	1377				hypothetical protein
PCGOOAAK_02022	CDS	1473				hypothetical protein
PCGOOAAK_02023	CDS	816	glgA	2.4.1.21		Glycogen synthase
PCGOOAAK_02024	CDS	846	panC	6.3.2.1	COG0414	Pantothenate synthetase
PCGOOAAK_02025	CDS	351	panD	4.1.1.11	COG0853	Aspartate 1-decarboxylase
PCGOOAAK_02026	CDS	1365	trpB_1	4.2.1.20	COG0133	Tryptophan synthase beta chain
PCGOOAAK_02027	CDS	159				hypothetical protein
PCGOOAAK_02028	CDS	1785				hypothetical protein
PCGOOAAK_02029	CDS	690				hypothetical protein
PCGOOAAK_02030	CDS	1026	mltG	4.2.2.-	COG1559	Endolytic murein transglycosylase
PCGOOAAK_02031	CDS	1539	abf2	3.2.1.55	COG3534	Intracellular exo-alpha-L-arabinofuranosidase 2
PCGOOAAK_02032	CDS	1068				hypothetical protein
PCGOOAAK_02033	CDS	1059	pstS		COG0226	Phosphate-binding protein PstS
PCGOOAAK_02034	CDS	858	pstC		COG0573	Phosphate transport system permease protein PstC
PCGOOAAK_02035	CDS	870	pstA		COG0581	Phosphate transport system permease protein PstA
PCGOOAAK_02036	CDS	771	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
PCGOOAAK_02037	CDS	948	RBKS	2.7.1.15		Ribokinase
PCGOOAAK_02038	CDS	1308				hypothetical protein
PCGOOAAK_02039	CDS	2649				hypothetical protein
PCGOOAAK_02040	CDS	1320	norR			Anaerobic nitric oxide reductase transcription regulator NorR
PCGOOAAK_02041	CDS	534				hypothetical protein
PCGOOAAK_02042	CDS	786				hypothetical protein
PCGOOAAK_02043	CDS	375				hypothetical protein
PCGOOAAK_02044	CDS	1185				hypothetical protein
PCGOOAAK_02045	CDS	552	rbr3A	1.11.1.1	COG1592	Reverse rubrerythrin-1
PCGOOAAK_02046	CDS	423	perR_2		COG0735	Peroxide-responsive repressor PerR
PCGOOAAK_02047	CDS	1941	nadE	6.3.5.1	COG0171	Glutamine-dependent NAD(+) synthetase
PCGOOAAK_02048	CDS	954				hypothetical protein
PCGOOAAK_02049	CDS	744	aroE	1.1.1.25	COG0169	Shikimate dehydrogenase (NADP(+))
PCGOOAAK_02050	CDS	741	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
PCGOOAAK_02051	CDS	948	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
PCGOOAAK_02052	CDS	999			COG1702	PhoH-like protein
PCGOOAAK_02053	CDS	1650				hypothetical protein
PCGOOAAK_02054	CDS	1650				hypothetical protein
PCGOOAAK_02055	CDS	1746	pgcA	5.4.2.2		Phosphoglucomutase
PCGOOAAK_02056	CDS	1563				hypothetical protein
PCGOOAAK_02057	CDS	138				hypothetical protein
PCGOOAAK_02058	CDS	249				hypothetical protein
PCGOOAAK_02059	CDS	747				hypothetical protein
PCGOOAAK_02060	CDS	393				hypothetical protein
PCGOOAAK_02061	CDS	1782				hypothetical protein
PCGOOAAK_02062	CDS	1050				hypothetical protein
PCGOOAAK_02063	CDS	1017				hypothetical protein
PCGOOAAK_02064	CDS	1068				hypothetical protein
PCGOOAAK_02065	CDS	1044				hypothetical protein
PCGOOAAK_02066	CDS	273				hypothetical protein
PCGOOAAK_02067	CDS	1062				hypothetical protein
PCGOOAAK_02068	CDS	930				hypothetical protein
PCGOOAAK_02069	CDS	333				hypothetical protein
PCGOOAAK_02070	CDS	1089				hypothetical protein
PCGOOAAK_02071	CDS	1077	mdtA_4			Multidrug resistance protein MdtA
PCGOOAAK_02072	CDS	1908	mdtB_1			Multidrug resistance protein MdtB
PCGOOAAK_02073	CDS	861				hypothetical protein
PCGOOAAK_02074	CDS	639	thyA_2	2.1.1.45	COG0207	Thymidylate synthase
PCGOOAAK_02075	CDS	243				hypothetical protein
PCGOOAAK_02076	CDS	486				hypothetical protein
PCGOOAAK_02077	CDS	1302				hypothetical protein
PCGOOAAK_02078	CDS	234				hypothetical protein
PCGOOAAK_02079	CDS	6552				hypothetical protein
PCGOOAAK_02080	CDS	714				hypothetical protein
PCGOOAAK_02081	CDS	306				hypothetical protein
PCGOOAAK_02082	CDS	3789				hypothetical protein
PCGOOAAK_02083	CDS	465				hypothetical protein
PCGOOAAK_02084	CDS	3648				hypothetical protein
PCGOOAAK_02085	CDS	489				hypothetical protein
PCGOOAAK_02086	CDS	576				hypothetical protein
PCGOOAAK_02087	CDS	351				hypothetical protein
PCGOOAAK_02088	CDS	480				hypothetical protein
PCGOOAAK_02089	CDS	390				hypothetical protein
PCGOOAAK_02090	CDS	465				hypothetical protein
PCGOOAAK_02091	CDS	1200				hypothetical protein
PCGOOAAK_02092	CDS	1041	clpP_2	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
PCGOOAAK_02093	CDS	444				hypothetical protein
PCGOOAAK_02094	CDS	1533				hypothetical protein
PCGOOAAK_02095	CDS	426				hypothetical protein
PCGOOAAK_02096	CDS	1353				hypothetical protein
PCGOOAAK_02097	CDS	1506				hypothetical protein
PCGOOAAK_02098	CDS	249				hypothetical protein
PCGOOAAK_02099	CDS	600				hypothetical protein
PCGOOAAK_02100	CDS	462				hypothetical protein
PCGOOAAK_02101	CDS	270				hypothetical protein
PCGOOAAK_02102	CDS	663				hypothetical protein
PCGOOAAK_02103	CDS	198				hypothetical protein
PCGOOAAK_02104	CDS	186				hypothetical protein
PCGOOAAK_02105	CDS	423				hypothetical protein
PCGOOAAK_02106	CDS	234				hypothetical protein
PCGOOAAK_02107	CDS	471				hypothetical protein
PCGOOAAK_02108	CDS	222				hypothetical protein
PCGOOAAK_02109	CDS	663				hypothetical protein
PCGOOAAK_02110	CDS	882				hypothetical protein
PCGOOAAK_02111	CDS	2106				hypothetical protein
PCGOOAAK_02112	CDS	381				hypothetical protein
PCGOOAAK_02113	CDS	528				hypothetical protein
PCGOOAAK_02114	CDS	303				hypothetical protein
PCGOOAAK_02115	CDS	222				hypothetical protein
PCGOOAAK_02116	CDS	684				hypothetical protein
PCGOOAAK_02117	CDS	234				hypothetical protein
PCGOOAAK_02118	CDS	1320	mdtB_2			Multidrug resistance protein MdtB
PCGOOAAK_02119	CDS	1485				hypothetical protein
PCGOOAAK_02120	CDS	3207	mdtC_1			Multidrug resistance protein MdtC
PCGOOAAK_02121	CDS	1710		3.2.1.-		Glycosyl hydrolase family 109 protein 1
PCGOOAAK_02122	CDS	219				hypothetical protein
PCGOOAAK_02123	CDS	1803	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
PCGOOAAK_02124	CDS	1698	ilvB	2.2.1.6	COG0028	Acetolactate synthase large subunit
PCGOOAAK_02125	CDS	558	ilvH	2.2.1.6	COG0440	Acetolactate synthase isozyme 3 small subunit
PCGOOAAK_02126	CDS	747				hypothetical protein
PCGOOAAK_02127	CDS	1044		1.1.1.382	COG0059	Ketol-acid reductoisomerase (NAD(+))
PCGOOAAK_02128	CDS	2874				hypothetical protein
PCGOOAAK_02129	CDS	525	frp_2	1.5.1.38		NADPH-flavin oxidoreductase
PCGOOAAK_02130	CDS	651				hypothetical protein
PCGOOAAK_02131	CDS	2589				hypothetical protein
PCGOOAAK_02132	CDS	1635	exoI	3.2.1.52	COG3525	Beta-hexosaminidase
PCGOOAAK_02133	tRNA	86				tRNA-Ser(tga)
PCGOOAAK_02134	CDS	1182	xerC_9			Tyrosine recombinase XerC
PCGOOAAK_02135	CDS	1809	ltrA_2		COG3344	Group II intron-encoded protein LtrA
PCGOOAAK_02136	CDS	513				hypothetical protein
PCGOOAAK_02137	CDS	804				hypothetical protein
PCGOOAAK_02138	CDS	315				hypothetical protein
PCGOOAAK_02139	CDS	561				hypothetical protein
PCGOOAAK_02140	CDS	393				hypothetical protein
PCGOOAAK_02141	CDS	324				hypothetical protein
PCGOOAAK_02142	CDS	312				hypothetical protein
PCGOOAAK_02143	CDS	504				hypothetical protein
PCGOOAAK_02144	CDS	372				hypothetical protein
PCGOOAAK_02145	CDS	921				hypothetical protein
